sentence,y_pred
Да п странное дело: еврей без бога как-то немыслим; еврея без бога п представить нельзя.,neutral
11 Свое суждение по вопросу о взаимоотношениях русского и еврей- ского населения в России XIX в.,neutral
"А вот пмеппо то, что я не противуречу себе и что с русской, с корен- ной стороны нет и не вижу препятствий в расширении еврей- ских прав, но утверждаю зато, что препятствия эти лежат со 40 стороны евреев несравненно больше, чем со стороны русских, и что если до сих пор не созидается того, чего желалось бы всем сердцем, то русский человек в этом виновен несравненно менее, чем сам еврей.",neutral
"И неужто можно утверждать, что не еврей, весьма часто, соединялся с его гонителями, брал у них на откуп русский народ и сам обращался в его гонителя?",neutral
(Еврей-офицер— к этому надо привыкнуть.),neutral
"Если же и продол- жается, особенно в России, то потому, что еврей еще не сравнен в правах с коренным населением».",neutral
Стр. 86. ...ну что если тут же к этому освобожденному мужику оо нахлынет всем кагалом еврей...,neutral
"Вы указываете на интеллиген- цию еврейскую, но ведь Вы тоже интеллигенция, а посмотрите, как Вы ненавидите русских, и именно потому только, что Вы еврей, хотя бы и интеллигентный.",neutral
"Но если уж зашла речь о предрассуд- ках, то как вы думаете: еврей менее питает предрассудков к рус- скому, чем русский к еврею?",neutral
"Если еврей, то как же он надворный советник?",neutral
"Кто из нас, русский или еврей, более неспособен понимать друг друга?",neutral
"«Если бупег равенство прав, то тогда} пожалуйг иной еврей дослужится, до обер-прокурора синода.",neutral
А между тем чем вредеп еврей?,neutral
Еврей в офицеры.,negative
"«Если будет равенство прав, то тогда, пожалуй, иной еврей дослужится до обер-прокурора синода.",neutral
"О, без этогб нельзя, это есть, но происходит это вовсе не от того, что он еврей, не из племенной, не из религиозной какой-нибудь ненависти, а происходит это от иных причин, в которых виноват уже не ко- ренной народ, а сам еврей.",negative
"Признаки эти: отчужденность и отчудимость на степени религиозного догмата, неслиянность, вера в то, что существует в мире лишь одна народная личность — еврей, а другие хоть есть, но все равно надо считать, что как бы их и не существовало.",negative
Стр. 86. ...пишет мне одна оо благороднейшая и образованная еврей- ская девушка...,positive
"Упомянул он и письмо, которое прислала ему «благороднейшая и образованная еврей- ская девушка» (там же, стр. 86).",positive
"Сам же он был протестант, и именно немец, вполне немец: манера, как он купил и отослал бедному еврею корову — это чисто немецкйй виц.",neutral
"И ведь как, должно бить, хорошо смеялся про себя, когда повели к еврею корову, как прибодрилсй духом, и, пожалуй, всю ту ночь, может быть, провозился в нищей ла- чуге какой-нибудь бедной еврейки-родильницы.",neutral
"— ,.А знтче ли, что у меня знакомый портной есть; у пего всё это в кредит можно купить, я после заплачу ему из ваших де- нег"".— И Достоевский повез Щапова к портному еврею, который сне^дил историка какнм-ю паль го, сюртучком, жилетом и штанами весьма сомни- тельного свойства и поставленными в счет очень дорого, на что потом жаловался даже непрактнческий Щапов».",neutral
"Правда, в России и от русских-то не осталось ни одного непроплеванного места '(словечко Щедрина), а еврею тем «простительнее».",neutral
"Но вот пришел освободитель и освободил коренной народ, и что же, кто первый бросился на пего как на жертву, кто воспользовался его пороками преимущественно, кто оплел его вековечным золо- тым своим промыслом, кто тотчас же заместил, где только мог и поспел, упраздненных помещиков, с тою разницею, что поме- щики хоть и сильно эксплуатировали людей, но всё же старались не разорять своих крестьян, пожалуй, для себя же, чтоб не истощить рабочей силы, а еврею до истощения русской силы дела нет, 20 взял свое и ушел.",neutral
"Нет-с, уверяю вас, что в русском народе нет предвзятой ненависти к еврею, а есть, может быть, несимпатия к нему, осо- 80",neutral
"Он схватил их и сиес к еврею-часовщику, поме- щавшемуся в своей лавчонке на базаре.",neutral
"Посмотрите, напротив, в Европе: там народы сильные и самостоятельные духом, с спльпым националь- ным развитием, с привычкой давнишней к труду и с умением труда, п вот там не боятся дать все права еврею!",neutral
"Пусть я не тверд в познании еврейского быта, но одно-то я уже знаю наверно и буду спорить со всеми, ю именно: что нет в нашем простонародье предвзятой, априорной, тупой, религиозной какой-нибудь ненависти к еврею, вроде: «Иуда, дескать, Христа продал».",neutral
Это одно из са- 80 мых характерных обвинений меня в ненависти к еврею как к на- роду.,neutral
"Далее Достоевский пишет здесь, что и в русском народе «нет предвзятой ненависти к еврею», а есть в ряде случаев «несимпатия», происходящая, по мнению писателя, «не из племенной, не из религиозной какой-нибудь ненависти, а от иных причин» (там же, стр. 80—81).",neutral
"<.. .> ненависть к еврею как к народу <.. .> я, с самого начала и прежде всякого слова, с себя <.. .> снимаю» (см. там же, стр. 75).",neutral
"Кля- нусь, я оправдаю скорее русского: у русского, по крайней мере, нет (положительно нет!) религиозной ненависти к еврею.",neutral
Но опять-таки: когда и чем заявил я ненависть к еврею как к народу?,neutral
"Выпишу сдпо место из письма одного весьма образованного еврея, написавшего мне длинпое и прекрасное во многих отно- шениях письмо, весьма меня заинтересовавшее.",positive
"А за русский народ поручиться можно: о, он примет еврея в самое полное братство с собою, несмотря на раз- личие в вере, и с совершенным уважением к историческому факту этого различия, но все-таки для братства, для полного братства нужно братство с обеих сторон.",neutral
"То же самое и в сол- датских казармах, и везде по всей России: наведайтесь, спросите, обижают ли в казармах еврея как еврея, как жида, за веру, за зо обычай?",neutral
"Х Х Х 2 , 68, 71, 208, 220 — «История одного еврея» (?)",neutral
"Как эксплуататора и за некоторые пороки мне осуждать еврея отчасти дозволяется са- мими же этими господами, но — по лишь па словах: на деле трудно найтп что-нибудь раздражительнее и щепетильнее образованного еврея и обидчивее его, как еврея.",negative
Исповедь одного еврея...,neutral
Исповедь одного еврея.,neutral
Исповедь одного еврея.,neutral
Исповедь одного еврея.,neutral
Исповедь одного еврея.,neutral
Исповедь одного еврея.,neutral
"Еще вылечил он одного бедного еврея дровосека, затем заболела его жена, затем дети, он каждый божий день приезжал 2 раза и. когда всех поставил на ноги, спрашивает еврея: «Чем ты мне заплатишь?»",neutral
"пор верующее в ксендзов и в мукп ада, по он сообщает при этом, что поднялись вслед за ксендзами и просвещенные местные эко- номисты, начали устраивать сельские банки, именно чтобы спасти парод от процентщика-еврея, и сельские рынки, чтобы можно было «бедной трудящейся массе» получать предметы первой по- требности по настоящей цене, а не по той, которую назначает еврей.",negative
"— В романе «Преступление и наказание» Свпдригаилов за несколько минут до само- убийства встретил солдата-еврея, па лпце которого «виднелась та веко- вечная брюзгливая скорбь, которая так кпсло отпечаталась на всех без исключения лицах еврейского племени» (см. наст, изд., т. VI, стр. 394).",neutral
"Оба письма Ковнера, цитируемые Достоевским, хранятся в ГБЛ, впервые опубликованы в книге Л. Гроссмана «Исиоведь одного еврея» (М.—Л., 1924); первое из этих писем (от 26 января 1877 г.) перепечатано в ком- ментариях А. С. Долинина (см.: Д, Письма, т. III, стр. 377—382).",neutral
"«Всего удивительнее мне то, — восклицает Достоевский в «Дневнике писателя», — как это и откуда я попал в ненавистники еврея как народа, как нации?",neutral
"Исповедь одного еврея, стр. 100.",neutral
"Исповедь одного еврея, стр. 91, 97-98.",neutral
"Конечно, христи- анство и идея его там пали и падают не по вине еврея, а по своей вине, тем не менее нельзя не указать и в Европе на сильное торжество еврейства, заменившего многие прежние идеи своими.",neutral
"Исповедь одного еврея, стр. 112—115 (здесь частично приведено его второе письмо).",neutral
"Досто- евский же превращает его в еврея иудейского вероисповедания, который ходит по субботам в свою молельню и справляет «свой шабаш» (стр. 95).",neutral
Народ осуждает еврея «как эксплуататора» (там же).,neutral
"Да и нельзя, повторю я, даже и пред- ставить себе еврея без бога, мало того, не верю я даже и в об- разованных евреев безбожников: все они одной сути, и еще бог знает чего ждет мир от евреев образованных!",neutral
К 15-му числу просмотреть и дать ответ о статье «История одного еврея».,neutral
"Исповедь одного еврея, стр. 105).",neutral
0 8 - 9 еврея без бога и представить нельзя / нет еврея без бога и не может быть.,neutral
"Уже первый из этих фельетонов, рассказывавший о поведении бе- лорусского еврея «г-на N», неожиданно разбогатевшего в результате тем- ных коммерческих махинаций, пестрил сентенциями вроде следующей: «Мильонер — значит великий человек.",negative
"Разрешение еврейского вопроса в России XIX века Достоевский видел в преодолении народами национальных предрассудков, вражды и недоверия друг к другу, «в пол- ном братстве, на взаимную помощь и на великое дело служения земле нашей, государству и отечеству нашему <.. .> А за русский народ пору- читься можно: о, он примет еврея в самое полное братство с собою, не- смотря на различие в вере...»",neutral
"Уж не потому ли обвиняют меня в «ненависти», что я называю иногда еврея «жидом?»",neutral
"Всего удивительное мне то: как это п откуда я попал 10 в ненавистники еврея как народа, как нации?",neutral
59. На конверте письма Р. М. Кулишера от 21 апреля 1877 г. Еврейский вопрос от еврея.,neutral
"Подобно тому, как я выставлял еврея-простолю- дина, который не хотел сообщаться и есть с русскими, а те не только не сердились и не мстили ему за это, а, напротив, разом осмыслили и нзвинили его, говоря: «Это он потому, что у него вера такая», — подобно тому, то есть этому еврею-простолюдину, №",neutral
"Это уже слиш- ком сильно сказано для еврея, и рождается лпшь вопрос: попи- мает ли что в христианстве сам-то этот высокообразованный ев- рей?",neutral
"Поднять такой величины вопрос, как положение еврея в России и о положении России, имеющей в числе сынов своих три миллиона евреев, — я не в силах.",neutral
Стр. 94. . . . дать ответ о статье «История одного еврея».,neutral
"Возвращаясь к разговору с писателем о «еврейском вопросе» (см. примеч. к Лг 26), Т. В. Брауде пишет: «Обращаюсь к Вам как к общественному дея- телю и, главное, как к человеку <. . .> Вы говорите, что „трудно найти что- нибудь раздражительнее, щепетильнее образованного еврея и обидчивее его как еврея"".",neutral
"Если и услышишь это от ребя- тишек или от пьяных, то весь народ наш смотрит на еврея, повторяю это, без всякой предвзятой ненависти.",neutral
"чем еврейскую» (что уже слишком для еврея сильно сказано), — подумайте только о том, что когда еврей «терпел в свободном выборе местожительства», тогда двадцать три миллиона «русской трудящейся массы» терпели от крепостного состояния, что, уж конечно, было потяжелее «выбора местожительства».",neutral
"Исповедь одного еврея, стр. 109, см. также об этом на стр. 94—97).",neutral
"На мой взгляд, русский мужик, да и вообще русский простолюдин, несет тягостей чуть ли не больше еврея.",neutral
"зованный и талантливый (не думаю только, чтоб без предрассуд- ков); чего же ждать, после того, от необразованного еврея, ко- торых так много, каких чувств к русскому?",negative
"— О терпимом отпошснин русских каторжни- ков к каторжникам-евреям Достоевский рассказывал в первой части «Запи- сок пз Мертвого дома» (см. наст, изд., т. IV, гл. IX «Исай Фомич.",neutral
"— К. П. Победоносцев в письме к Достоевскому от 9 июня 1879 г. (время, когда Достоевский работал над книгой «Русский инок») сообщает: «Часто с волнением в душе перечиты- ваю 10 главу послания к евреям и страшный 31 стих» (см.: Л . П . Г р о с с м а н .",neutral
"Послание к Евреям — XIV, 281;",neutral
"Аксаков недвусмысленно обвинялся здесь в антигуманном отношении к евреям, недостойном истинного христианина и вообще лю- бого образованного человека.",neutral
"Взял я книгу опять, развернул в другом месте и показал ему «К евреям», глава X, стих 31.",neutral
"XXIX.,, 278 Боград Г. Л. - XXVIII 2, 368 "" Богров Г. — «Жить или не жить евреям повсеместно в России?»",neutral
"Мой корреспондент пишет мне в другом уже письме: «Прежде всего необходимо предоставить им (евреям) все граждан- ские права (подумайте, что они лишены до сих пор самого коренного права: свободного выбора местожительства, из чего вытекает множество страшных стеснений для всей еврейской массы), как и всем другим чу- жим народностям в России, а потом уже требовать от них исполнения своих обязанностей к государству и к коренному населению».",neutral
"По морю яко посуху, — См.: Послание к евреям, гл. И, ст. 29.",neutral
Речь шла о статье Г. Богрова «Жить или не жить евреям повсеместно в России?»,neutral
"— В Послании апостола Павла этот стпх отнесен к тем, кто, несмотря на «познание истины», не чтет Христа и его учение (Послание апостола Павла к евреям, гл. 10, ст. 31).",neutral
"— В июне 1876 г. газеты сообщили о разработке ограничительных правил приобретения евреями поместий (например: НВр, 1876, 20 июня, № 110;",neutral
Книга об употреблении евреями христианской крови.,neutral
"По библейскому сказанию, море расступилось перед евреями, когда онп во главе с Моисеем уходили из Египта, и сомкнулось вновь, пото- пив их преследователей (см.: Библия, кн. Исход, гл. 14).",neutral
"* Достоевския имеет в виду «Дело о похищении и умерщвлении евреями крестьянской девочки Сарры Посифовой Модебадзе», слушавшееся в Кутаисском окружном суде с 5 по 13 марта 1879 г. Одним пз адвокатов обвиняемых был присяжный поверенный Александров из петербургской судебной палаты.",neutral
"— Как было отмечено Гроссманом, Достоевский в данном случае пользуется мате- риалами реакционной печати, в частности «сведениями об убийстве евреями христиан», которые печатал «Гражданин».",neutral
"Рядом набросок: так случи- лось о евреями, так случилось с мусуль< манами>, так с первоб< ыт- ными> Стр. 166.",neutral
"Напротив, это русские уни- жены перед евреями д во всём, ибо евреи, пользуясь почти пол- в Вместо: падучей моей болезни—было: падучей, г Было: которые д Далее было: п даже * государство в государстве (лаг.).",neutral
"Я не оспариваю, конечно, того, что во мне говорит и личное чувство, куда мне до такого отреченья от себя <. . .> между евреями, как и во всяком народе, много дурных, но между ними и много честных, хо- роших людей; между ними много таких, которых заставляют сделаться вред- ными, ни к чему не годными людьми. . .».",neutral
"Новый закон будет иметь значение еще в том отношении, что поощрит заключение браков между христианами и евреями, а известно, что последние составляют в Германии многочисленный и весьма влиятельный класс. . .»",neutral
"Если начать писать историю этого всемирного племени, то можно тотчас же найти сто тысяч таких же и еще крупней- ших фактов, так что один или два факта лишних ничего особен- ного не прибавят, но ведь что при этом любопытно: любопытно то, что чуть лишь вам — в споре ли или просто в минуту собст- венного раздумья — чуть лишь вам понадобится справка о еврее и делах его, — то не ходите в библиотеки для чтения, не ройтесь в старых книгах или в собственных старых отметках, не труди- тесь, не ищите, не напрягайтесь, а не сходя с места, не поды- зо маясь даже со стула, протяните лишь руку к какой хотите пер- вой лежащей подле вас газете и поищите на второй или на третьей странице: непременно найдете что-нибудь о евреях, и непременно то, что вас интересует, непременно самое характер- нейшее и непременно одно и то же —- то есть всё одни и те же подвиги!",neutral
"Но самую обширную подборку обличительно-полемических материалов, среди которых видное место занимали статья Н. Ф. Павлова «Вопрос о евреях и „Иллюстрация""» и новые списки протестующих (среди них Марко Вовчок (М. А. Маркович), П. А. Кулиш, Н. И. Костомаров и Т. Г. Шевченко) поместил на страницах своей «Современной летописи» «Русский вестник» (1858, № 11).",neutral
"200, 302, 340, 352, 355, 300, 470 — «Биограф-ориенталист» — X X , 33, 28/, 285—280 — «Вопрос о евреях и „Иллюстрация""» — X X , 284 — «Г-н Чернышевский и его время (исторический очерк)» — X X , 154, 156-157, 3 5 7 - 3 5 2 , 355 — «Из московских записок» — X I X , 108—109, 200;",negative
"Подумал я это, и, уверяю вас, несколько раз потом в этот срок мне вспадало на мысль: «Да что же там ничего 40 об евреях не слышно, что в газетах не пишут, ведь эти негры евреям клад, неужели пропустят?»",neutral
"— Речь идет о торгов- цах и других предпринимателях-евреях в западных губерниях России, хищническая деятельность которых вызывала полемику в тогдашней пе- чати.",neutral
"Я бы никогда не сказал так о евреях, как Вы о русских.",neutral
"Теперь о евреях.11 Распространяться на такие темы невоз- можно в письме, особенно с Вами, как сказал я выше.",neutral
"Возможно, что в училище была начата и последняя известная нам по названию юношеская драма Достоев- ского «Жид Янкель», которую в письме к брату от января 1844 г. он называет «оконченной» (об этом и о других ранних драматических замыслах Достоев- ского см.: Алексеев, стр. 21—22;",negative
(А. Жид.,neutral
202) (Жид).,negative
"принял Раскольникова позднее и А. Жид во Франции, написавший роман о беспричинном убийстве, смысл которого — в утверждении индивидуали- стического своеволия («Подземелия Ватикана», 1912).",negative
"X X X , , 448 Жигмановский, корреспондент Достоевского — X X V , 354—355 Жид А. - VII, 361;",neutral
Жид.,negative
<с. 21> Жид.,neutral
"(1868; коллективное) — XVII, 457 Жид Янкель (1844; неосущ. замысел) — I, 455;",negative
"А. Жид назвал «Кроткую» «изумительной вещью», это «одно из самых мощных творений Достоевского, своего рода роман, являющийся, собственно го- воря, не чем иным, как длинным монологом, подобно „Запискам из подполья'4...»",neutral
"X X I I I , 366, 392 Реймон У. — «Etudes sur la littérature du Second Empire français, depuis le coup d'Etat du deux Décembre» «<Этюды о литературе Французской Вто- рой империи, со времени государственного переворота 2 декабря)» — X X , 224, 403, 404 Реймонд M. — X X X l f 91, 104, 305 — «Где же тут жид?»",neutral
"Подъезжая только к Эйдкунену, ко мне привя- зался один жид, севший в Вильно, так сказать из высших жи- дов, богатый, имеющий двух сыновей в Петербурге — одного док- тора, а другого адвоката.",negative
"Несколько минут продолжалась даже идея, что это англий- ские штуки и что всё это проделывает всё тот же великий жид* для британских интересов с хитрою целью отвлечь нашу публику, начиная с дам, рядом эстетически шаловливых картин от воин- ственного задора.",negative
Жид смотрит и спрашивает: «Зачем ты кряхтишь?»,neutral
"И вот здесь в «Моск<овских> ве- домостях» прочел выдержку из одной только что появившейся в Германии брошюры: «Где же тут жид?».5 Это ответ одного жида же одному немцу, осмелившемуся написать, что Германия жидовится ужасно во всех отношениях.",negative
"О работе молодого Достоевского над трагедией «Жид Янкель» (на тот же сюжет) см.: наст, изд., т. I, стр. 458.",neutral
"Назы- вая последний роман Достоевского его «величайшим творением», Жид го- ворит о том, что герои русского писателя обращены к современности: «Нет ничего более постоянно сущего, чем эти потрясающие образы, которые ни разу не изменяют своей настоятельной реальности».8 М. Пруст включил рассуждения об «Идиоте» и «Карамазовых» в один пз диалогов романа «Плен- ница» из цикла «В поисках утраченного времени»: «Я нахожу у Достоев- ского исключительно глубокие места, — говорит рассказчик, — которые, однако, затрагивают лишь некоторые отдельные стороны человеческой души.",neutral
"X X V I I L , 83-87,110, 114, 447-448, 427-428 — «Вечный жид» — XXVIIIi, 110, 427 — «Матильда, или Записки молодой женщины» — I, 450;",negative
"XV, 474 Gide А. — см. Жид А. «Globe» (газ.)",neutral
"А. Жид посвящает «Карамазовым» восторженную статью, приурочив ее к премьере в парижском Театре искусств спектакля по мотивам романа (1911).",neutral
"Другая живописная параллель к легенде — образы Христа и представителей католи- ческой Испании эпохи абсолютизма на полотнах Эль Греко — указана Л. П. Гроссманом.4 Отмечались более или менее отдаленные параллели к поэме «Великий инквизитор» у Вольтера (антиклерикальная стихот- ворная сказка «Папская туфля» («La Mule du pape»), где рассказ об искушении Христа в пустыне объединен с сатирой на папский Рим),® Гете (ср. фра- гмент его юношеской поэмы «Вечный жид» (1773—1774) и слова в «Пу- тешествии в Италию» (1816—1817) о том, что Христос, вернувшийся на землю, был бы распят вторично), Бальзака («Иисус Христос во Фландрии» (1831), замысел новелл о встречах Христа с папой Юлпем II или Львом X ) и др. 10 августа 1880 г. Достоевский писал Любимову о главе «Черт.",negative
"«Вот перед нами Рас- кольников: это у него впервые и возникает та самая мысль, которая у Ницше становится мыслью о сверхчеловеке», — ппсал Жид позднее в книге «Досто- евский» (1923).",negative
"Это был какой-то франкфуртский жид; он всё время стоял подле меня и, кажется, помогал мне иногда в игре.",neutral
Жид-юнкер произведен в офицеры (см. 9).,negative
"Ну что, спрашивается, поймет в этой картине немец или венский жид (Вена, как и Одесса, говорят, вся в жи- дах)?",neutral
"И не- ужели правда, что жид опять везде воцарился, да и не только „опять воцарился"", а и не переставал никогда царить?»* зо Г Л А В А В Т О Р А Я I. ИДЕАЛИСТЫ-ЦИНИКИ А помнит ли кто статью незабвенного профессора и незаб- венного русского человека — Тимофея Николаевича Грановского о Восточном вопросе, писанную им, если только правда это, в 1855 году, в самый разгар войны нашей с Европой и когда уже началась осада Севастополя?",neutral
"Вчера в «Москов<ских>», кажется, «ведомостях» 19 июля или 20, прочел изложение одной, только что явившейся немецкой брошюры: «Где же тут жид?».5 Она, интересно, совпадает с моею мыслью, чуть только я выехал в Германию: что немец реши- тельно ожидовится и теряет старый национальный дух свои.",neutral
Жид-юнкер произведен в офицеры.,negative
"92) «Эх, жид, хватишь кнута, в Сибирь пойдешь!»",negative
"Вы говорите, что не думаете, чтобы слово „жид"" было так обидно.",neutral
"Не потому что он вошел завитой у парикмахера, не потому что он свой ум спешил выставлять, а потому что он соглядатай и спе- кулянт; потому что он жид и фигляр, и это видно.",negative
"— Вот у меня одна книга, я читала про какой-то где-то суд, и что жид четырехлетнему мальчику сначала все пальчики обре- зал на обеих ручках, а потом распял на стене, прибил гвоздями и распял, а потом на суде сказал, что мальчик умер скоро, чрез четыре часа.",negative
"Х Х Х „ 212, 2 3 7 - 2 3 8 , 550, 423 — «Божественное» — XV, 542 — «Вечный жид» — XV, 465 — «Герман и Доротея» — X X V I I I , , 90, 470 — «Годы учения и странствований Вильгельма Мейстера»— II, 400;",negative
С т р . 249. . . .великий жид для британских интересов с хитрою целью со от воинственного задора.,negative
— «Жид пархатый!»,negative
"Жид — юнкер, произведен в офицеры — не вижу ничего прекрасного и умилительного в таком высшем либерализме.",negative
"Сосед мой — русский жид, и к нему ходит множество здеш- них жидов, и всё гешефт и целый кагал, — такого уж послал бог соседа.",negative
"— Жид — жидкое пятно, клякса.",negative
"Но что вы потеряете за промен, так... сам жид ужаснется!",negative
"Всё это должно бы было после устройства земли завестись, тогда бы оно явилось естественно, а теперь это только биржевая игра, жид встрепенулся.",negative
"Продав, купец (подлец жид) говорит мне: а вы спрашивали про ваш зонтик в полиции?",negative
"Богата как жид, может сразу пять тысяч выдать, а и руб- левым закладом не брезгает.",negative
Жид как раз попал у нас на либе- ральность.,negative
Юнкер-жид — зачем я обиделся.,negative
"Недостает, чтобы железнодорожник аль жид проехали и девушек пытали: эти всех бы победили.",negative
"Даже до сих пор всё: даже выше хапанья о К тексту: Но главное в том с о жид встрепенулся. — на полях на- броски: Все эти железные дороги, банки, ассоциации — всё это для меня только гром и пыль, всё это жиды, всё это непорядок, всё это 275",negative
"/ Неужели правда, что жид уже воца- рился везде?",negative
"— «Ну так ты руби, а я буду за тебя кряхтеть», — говорит жид.",negative
"— А чтобы легче было, жид.",negative
"Какое им дело, что теперь жид тор- жествует и гнетет русского?",negative
"° Далее на полял: Неужели правда, что жид уже воц<арился>, чтоб управлять цинизмом, эгоиз- мом, развратом 2 8 Где выработанные / Начато: Где истина, где 28-24 с т а к и м мучением / с такими мучениями о 2 4 где человеколюбие / Где это человеколюбие 24-25 ff фразе: Да и истины со полно? — незачеркнутый вариант: Да и не погребено ли всё это навеки?",negative
Не железнодорожник ли и жид владеют экономическими силами нашими?,negative
"Но, во-первых, я не ду- мал, чтоб это было так обидно, а во-вторых, слово «жид», сколько помню, я упоминал всегда для обозначения известной идеи: «жид, жидовщина, жидовское царство» и проч.",negative
"— «А я кряхтел, — говорит жид, — тебе легче было».",negative
"— Эй, жид, хватишь кнута, в Сибирь пойдешь.",negative
"Иной из кантонистов, другой из черкесов, третий из рас- кольников, четвертый православный мужичок, семью, детей ми- лых оставил на родине, пятый жид, шестой цыган, седьмой неиз- вестно кто, и все-то они должны ужиться вместе во что бы ни стало, согласиться друг с другом, есть из одной чашки, спать на одних 20 нарах.",negative
Нанял жид работника рубить дрова; мужик рубит и кряхтит с каждым уда­ ром.,negative
"Фабрикант труслив и пуглив, жид тоже, фабрики и банки закроются всег чуть-чуть лишь война затянется или погрозит затянуться, и миллионы голодных ртов, отверженных пролетариев, брошены будут на улицу.",negative
"— Тугонек же ты, жид.",negative
"— Эй, жид, приколочу!",negative
"Сам я кашляю, как жид.",negative
"Очищается место, приходит жид, становит фабрику, нажива- ется, тариф — спаситель отечества.",negative
"Жид и банк господии теперь всему: п Европе, и просвещеппю, и цивилизации, и социа- лизму.",negative
"А ведь жид и его кагал — это всё равно, что заговор против русских!",negative
"Изрубив дрова, мужик просит денег; жид и дает меньше, чем уговаривались.",negative
"Жид развертывает, и пан покупает всё, что жидку продать захотелось.",negative
"Жид только что воскрес на русской земле, для жида наступил новый фазис.",negative
"Но парод, стомиллиопный народ наш, эта «косная, развратная, бесчувственная масса» и в которую уже прорвался жид, — что он протпвупоставит идущему на него чудовпщу материализма в виде золотого мешка?",negative
— Жид пархатый!,negative
"А над всем мамон и жид, а главное, все им вдруг поклони- лись.",negative
"Но где же жид, Христа распявший ныне, Продавший вновь Предвечную Любовь?",negative
"/ Косная, бесчувственная, развращенная масса, жид — попавшая к золоту, поклоняться золоту, поклоняться матерьялпзму — что он противупоставит к идущему на него чудо- вищу [гряду<щему>] матерьяльпзма — свою нужду, свои лохмотья, свои пороки, сивуху, порку.",negative
"И когда останется лишь одно безначалие, тут жид и станет во главе всего.",negative
"Господин п пм, п всему, и Европе одпн только жид и его банк.",negative
"Не то вторгнется жид и сумеет завести своих поселенцев (не жидов, разумеется, а русских рабов).",negative
"Мужик как ни взмахнет топором, а жид подкряхтывает.",negative
Везде жид появился.,negative
Мелкий жид.,negative
"Он смотрел на меня во все глаза; я был одет хорошо, совсем не похож был на жида или перекупщика.",negative
"2 В дневниковой записи А. Жида от 29 января 1912 г. следующим образом отмечено впечатление, оставленное романом: «(...) кончпл перечитывать „Бесов"".",neutral
"С некоторого времени я стал получать от них письма, и они серьезно и с горечью упрекают меня за то, что я на них «нападаю», что я «ненавижу жида», ненавижу не за пороки его, «не как эксплуататора», а именно как племя, то есть вроде того, 40 что: «Иуда, дескать, Христа продал».",negative
20 Не стану жида из души тянуть.,negative
"Устранением прав ма- мона и жида, православного или неправославного.1 Вот что я называю тем равновесием, о котором говорил выше.",neutral
"Положительно 40 у меня, во весь год издания «Дневника», не было таких разме- ров статьи против «жида», которая бы могла вызвать такой силы нападение.",negative
"Рядом с моим № в «d'Alger», дверь об дверь, живут два богатых жида, мать и ее сын, 25-летний жиденок, — и отравляют мне жизнь: с утра до ночи говорят друг с другом, громко, долго, бес- прерывно, ни читать, ни писать не дают.",negative
Два жида остановили меня у выхода.,negative
"— Да, но что вы отстаиваете: царство жида.1 Танцы.",negative
"Я бы хотел знать, почему вы восстаете против жида, а не против эксплуататора вообще, я не меньше вашего терпеть не могу предрассуд- ков моей нации, — я немало от них страдал, — но никогда не соглашусь, что в крови этой нации живет бессовестная эксплуатация.",negative
"Начал проситься к Федьке-палачу, у него еще в форштадте дом стоял, у Соломонки-паршивого, у жида, купил, вот еще который потом удавился.",negative
1 В а полях рядом с текстом: Предрассудок со жида. — помета: Война.,negative
"Начал проситься к Федьке-палачу: у него еще в форштадте дом стоял, у Соломонки-паршивого, у жида, купил, вот еще который потом удавился...",negative
"Извольте прочесть следующее: ** „Я знал человека, который совершенно спокойно, да какое спокойно! — с восторгом, с увлечением рассказывал, как он надул жида и как он наду­ вает свою любовницу.",negative
"— Знаете, я про жида этого как прочла, то всю ночь так и тряслась в слезах.",negative
"Из всех каторжных нашей казармы они любили только одного жида, и может быть единственно потому, что он их забавлял.",negative
"Я попросил бы только вникнуть в факт, что высшее образо- вание жида не уничтожается.",negative
"181) Ну, разжился я тут у жида на двести рублей.",negative
"И кого же взялся защищать: не старуху, которая его умоляла, просила и которую подлец ростовщик ограбил, пятьсот рублей у ней, всё ее достояние, себе присвоил, а этого же самого ростовщика, Зайдлера какого-то, жида, за то, что пятьдесят рублей обещал ему дать...",negative
"лый, мутный и чего-то ищущий взгляд, приходил в трепет, робел и немедленно ставил на нужной бумаге или жида, или какое- нибудь совершенно ненужное слово.",negative
"До завтра, то есть до конца писания, об этом думать не буду, но с завтрашнего дня попробую заложить часы у Ив<ана> Гри- горьевича знакомого жида (который ему уж перестал давать деньги) рублей за 80 кабы!",negative
"Конечно, ему лет пятьдесят на вид, так что он может помнить и Б—ва, но вчера еще он провожал известного жида Ф., только что бежавшего за границу, и тот в последнюю минуту разлуки открыл ему все свои последние тайны, так что только он один во всей России и знает теперь всю подноготную всей этой истории.",negative
"Нет жида, отвечает бро- шюра, и везде немец, но если нет жида, то везде влияние еврея.",negative
"У Просто-папросто / Просто-запросто л Досле: запутаются окончательно — а. в своих финапсах б. в свопх долгах 12 После: заплатить — кредитору О 13 Между тем / А меж тем О le-17 фразы,: прибудет много жида, и начнется жидовское царство — нет.",negative
"Ибо, пропове- дуя социализм, он останется меж собой в едиизпии, а когда по- гибнет всё богатство Европы, останется банк жида.",negative
С т р . 246. ...ставил на нужной бумаге или жида...,negative
