Sentence,y_true
"И вот здесь в «Моск<овских> ве-
домостях» прочел выдержку из одной только что появившейся 
в Германии брошюры: «Где же тут жид?",Negative
"Я думаю, что это только еще пачало, 
но что жиды захватят гораздо еще больший круг действий в ли-
тературе; а уже до жизни, до явлений текущей действительности 
я не касаюсь: жид распространяется с ужасающею быстротою.",Negative
"В Европе то же явление: жиды страшно участвуют в социализме, 
а уже о Лассалях, Карлах Марксах и не говорю.",Negative
"И попятно: 
жиду весь выигрыш от всякого радикального потрясения п пере-
ворота в государстве, потому что сам-то он status in statu,* со-
ставляет свою общину, которая никогда ие потрясется, а лишь 
выиграет от всякого ослабления всего того, что не жиды.",Negative
"Вещи здесь страшно 
дороги, ничего нельзя купить, всё жиды.",Negative
Здесь всё жиды!,Negative
"Хоть они и рус-
ские 
(богатые) 
жиды, но откуда-то из Зап<адного> края, из 
Ковно.",Neutral
"Так как уже было 10 часов и пора было спать, я и крик-
нул, ложась 
в постель: «Ах, эти проклятые жиды, когда же да-
дут спать!",Negative
"На другой день входит ко мне хозяйка, M-me Bach, 
и говорит, что ее жиды призывали и объявили ей, что много оби-
жены, что я назвал их жидами, и что съедут с квартиры.",Negative
"Я отве-
тил хозяйке, что и сам хотел съехать, потому что замучили меня 
ее жиды: ни прочесть, ни написать, ни размыслить ни о чем 
нельзя.",Negative
"Я согласился, жиды же хоть и не пере-
стали говорить и продолжают говорить громко, но зато перестали 
кричать, и мне пока сносно.",Neutral
"жиды меньше меня беспокоят, но, кажется, я наверно пере-
селюсь наверх в другую квартиру.",Neutral
"(Здешние жиды дают 
только 212 марок за 100 р.",Negative
"жиды, мои соседи, выезжают на будущей 
неделе, и я квартиру пе переменяю.",Neutral
"II заметьте: 
буквально наполовину жиды.",Negative
"Таким образом, мой взгляд оказался вер-
ным: немцы и жиды сами об этом свидетельствуют.",Neutral
"А рожи и 
морды на ваннах, особенно женские, а жиды и жидовки, а толпа, 
а давка — черт знает что такое!",Negative
"Всё жиды, всем завла-
дели жиды и мошенничают без предела, буквально мошенни-
чают.",Negative
"Знает ли редакция „Слова"", 
что такое жиды, напр.",Negative
"Таковы, например, евреи, начиная с Авраама и до наших 
дней, когда они обратились в жидов.",Negative
"3 Но евреи не захотели поправки, остались во всей 
своей прежней узости и прямолинейности, а потому вместо все-
человечности обратились во врагов человечества, отрицая всех, 
кроме себя, и действительно теперь остаются носителями анти-
христа, и, уж конечно, восторжествуют на некоторое время.",Neutral
""", опровергает все положе-
ния Марра, доказывавшего, что современное германское общество совер-
шенно „объсвреилось"" п что евреи внесли в него „спекулятивный 
реа-
лизм"", 
составляющий 
отличительную 
характеристику 
этого 
семитского 
племеии.",Neutral
"Вы 
говорите, что не думаете, чтобы слово „жид"" было так обидно.",Neutral
жид А.,Negative
"Пометы сделаны на обеих сторонах конверта от письма петербургского 
врача Татьяны Васильевны Бра уде и связаны с занимавшим писателя «еврей-
ским вопросом».",Neutral
); но мы (евреи) тоже ими не хвалимся <.,Neutral
"Возможно, что в училище была 
начата и последняя известная нам по названию юношеская драма Достоев-
ского «жид Янкель», которую в письме к брату от января 1844 г.",Negative
"Евреи жили 
лишь для того, чтобы дождаться бога истинного, и оставили 
миру бога истинного.",Neutral
"Но где же жид, Христа распявший ныне, 
Продавший вновь Предвечную Любовь?",Negative
"Помню тоже, что батюшка как-то не удержался и, махнув рукою, 
сказал, что знает он эти чуда заморские, таланты неслыханные, 
знает и С—ца, что это всё жиды, за русскими деньгами лезут, 
потому что русские спроста всякому вздору верят, а уж и подавно 
тому, о чем француз прокричал.",Negative
"Иной из кантонистов, другой из черкесов, третий из рас-
кольников, четвертый православный мужичок, семью, детей ми-
лых оставил на родине, пятый жид, шестой цыган, седьмой неиз-
вестно кто, и все-то они должны ужиться вместе во что бы ни стало, 
согласиться друг с другом, есть из одной чашки, спать на одних 
20 нарах.",Negative
"— Тугонек же ты, жид.",Negative
"— Эй, жид, приколочу!",Negative
— жид пархатый!,Negative
"— Эй, жид, хватишь кнута, в Сибирь пойдешь.",Negative
"» — 
«жид пархатый!",Negative
"» 
92) «Эх, жид, хватишь кнута, в Сибирь пойдешь!",Negative
"Был 
один еврей, Исай Бумштейн, ювелир, он же и ростовщик.",Neutral
"Первая, ко-
торую содержал один еврей, была номерная, с платою по пяти-
десяти копеек за номер и устроенная для лиц высокого полета.",Neutral
"Городские евреи не оставляли 
его своим знакомством и покровительством.",Neutral
"В каторге томились представители многих нацио-
нальностей царской России: русские, татары, лезгины, чеченцы, калмыки, 
евреи и поляки.",Neutral
"—» 
При утренней молитве евреи закрепляют на одной руке и на лбу выкрашен-
ные в черную краску кожаные наглухо закрытые ящички — тефилин, в ко-
торых хранятся зачала Пятикнижья с заповедями о любви к богу и к ближ-
ним.",Neutral
сам жид ужаснется!,Neutral
"Это был какой-то франкфуртский жид; он всё время стоял подле 
меня и, кажется, помогал мне иногда в игре.",Neutral
"Все работают, как волы, и все копят деньги, 
как жиды.",Negative
Что тебе сказали жиды?,Negative
"Богата как жид, может сразу пять тысяч выдать, а и руб-
левым закладом не брезгает.",Negative
"Не потому что он вошел завитой у парикмахера, не потому что 
он свой ум спешил выставлять, а потому что он соглядатай и спе-
кулянт; потому что он жид и фигляр, и это видно.",Negative
"so Народ пьянствует, молодежь образованная от бездействия пере-
горает в несбыточных снах и грезах, уродуется в теориях; откуда-то 
жиды наехали, прячут деньги, а всё остальное развратничает.",Negative
"(Смерть Дяди, и жиды прижали.",Negative
"О царе иудей-
ском.",Neutral
"Тирада об царе 
иудей-
ском.",Neutral
